Household_ID,Month,Crop_Income,Livestock_Income,Off_Farm_Income,Food_Expenses,Healthcare_Expenses,Education_Expenses,Discretionary_Expenses,Total_Income
8,9,76249,27654,14435,36745,7349,11023,18372,118338
8,10,93001,42963,28549,61630,12326,18489,30815,164513
8,11,32141,32682,26999,46070,9214,13821,23035,91822
8,12,48624,41796,36099,39208,7841,11762,19604,126519
8,13,100208,20218,53199,83691,16738,25107,41845,173625
8,14,30095,19299,17802,21171,4234,6351,10585,67196
8,15,86946,38420,56875,55135,11027,16540,27567,182241
8,16,40614,14184,16122,40248,8049,12074,20124,70920
8,17,81583,19956,59936,92571,18514,27771,46285,161475
8,18,49759,42525,53045,56245,11249,16873,28122,145329
8,19,45525,56871,37969,78530,15706,23559,39265,140365
8,20,16563,7356,29441,17207,3441,5162,8603,53360
8,21,48874,34990,16917,42678,8535,12803,21339,100781
8,22,69532,12505,27318,48436,9687,14531,24218,109355
8,23,111764,14799,42208,71316,14263,21394,35658,168771
8,24,94480,42903,33327,69054,13810,20716,34527,170710
9,1,58397,51484,59482,81869,16373,24560,40934,169363
9,2,37964,16367,28662,41735,8347,12520,20867,82993
9,3,17153,14931,29955,36450,7290,10935,18225,62039
9,4,37563,32996,57781,43378,8675,13013,21689,128340
9,5,13588,23053,23387,34223,6844,10266,17111,60028
9,6,72776,47598,32004,82164,16432,24649,41082,152378
9,7,25481,36992,54019,44828,8965,13448,22414,116492
9,8,45755,22214,27916,34525,6905,10357,17262,95885
9,9,35302,24708,33454,31305,6261,9391,15652,93464
9,10,41868,37498,65262,61773,12354,18531,30886,144628
9,11,114732,64002,46492,104739,20947,31421,52369,225226
9,12,51629,38669,31554,57383,11476,17215,28691,121852
9,13,59995,12716,64949,58508,11701,17552,29254,137660
9,14,75276,12422,20743,54828,10965,16448,27414,108441
9,15,82629,65524,56612,104912,20982,31473,52456,204765
9,16,40832,21152,51732,51684,10336,15505,25842,113716
9,17,41152,14086,33551,41332,8266,12399,20666,88789
9,18,49787,31895,25093,38275,7655,11482,19137,106775
9,19,97409,58817,63701,102526,20505,30757,51263,219927
9,20,132929,33857,35768,65340,13068,19602,32670,202554
9,21,104592,61349,71773,112011,22402,33603,56005,237714
9,22,42109,39770,24056,52211,10442,15663,26105,105935
9,23,71951,9760,42881,74074,14814,22222,37037,124592
9,24,18937,7853,34667,26272,5254,7881,13136,61457
10,1,20535,29244,19140,30925,6185,9277,15462,68919
10,2,27589,17777,23961,30202,6040,9060,15101,69327
10,3,81341,39251,48617,63950,12790,19185,31975,169209
10,4,65841,25147,20318,36542,7308,10962,18271,111306
10,5,60370,32337,54685,72543,14508,21762,36271,147392
10,6,88424,56830,34513,57818,11563,17345,28909,179767
10,7,28161,32621,17334,33513,6702,10053,16756,78116
10,8,49674,19342,80091,45224,9044,13567,22612,149107
10,9,107415,26269,52080,108143,21628,32443,54071,185764
10,10,65507,19928,13703,50484,10096,15145,25242,99138
10,11,42138,42546,15365,36712,7342,11013,18356,100049
10,12,24012,23837,23236,27214,5442,8164,13607,71085
10,13,38345,16807,34957,35743,7148,10723,17871,90109
10,14,35493,45441,44738,57271,11454,17181,28635,125672
10,15,27746,19889,25053,35583,7116,10674,17791,72688
10,16,37545,23426,22181,26856,5371,8056,13428,83152
10,17,53193,37924,15003,52858,10571,15857,26429,106120
10,18,70432,18405,23720,36280,7256,10884,18140,112557
10,19,89283,46776,65881,115947,23189,34784,57973,201940
10,20,43539,41147,34767,53657,10731,16097,26828,119453
10,21,19801,22198,33929,44046,8809,13213,22023,75928
10,22,119025,27049,57569,100340,20068,30102,50170,203643
10,23,72987,17135,53509,60376,12075,18112,30188,143631
10,24,49461,17492,17150,44982,8996,13494,22491,84103
11,1,122232,43967,39117,65788,13157,19736,32894,205316
11,2,68504,39205,45116,72761,14552,21828,36380,152825
11,3,36958,19596,44356,38073,7614,11422,19036,100910
11,4,99164,68422,56481,123868,24773,37160,61934,224067
11,5,18786,6298,21503,26423,5284,7927,13211,46587
11,6,69402,10980,38743,56660,11332,16998,28330,119125
11,7,119703,61815,52485,88514,17702,26554,44257,234003
11,8,36961,26829,19120,34547,6909,10364,17273,82910
11,9,96549,18874,46878,78902,15780,23670,39451,162301
11,10,47036,57969,28876,57244,11448,17173,28622,133881
11,11,82188,39567,44330,88544,17708,26563,44272,166085
11,12,19187,13588,38017,29072,5814,8721,14536,70792
11,13,51374,39542,63335,69666,13933,20899,34833,154251
11,14,22494,15023,39118,27336,5467,8200,13668,76635
11,15,70777,24927,55473,77000,15400,23100,38500,151177
11,16,25090,19742,19019,35728,7145,10718,17864,63851
11,17,29280,28131,49668,43901,8780,13170,21950,107079
11,18,37828,18101,17345,42968,8593,12890,21484,73274
11,19,32229,27185,37062,30053,6010,9016,15026,96476
11,20,53554,40117,66564,58662,11732,17598,29331,160235
11,21,61300,49949,32919,61089,12217,18326,30544,144168
11,22,48838,18511,46653,48717,9743,14615,24358,114002
11,23,17446,19049,27724,34551,6910,10365,17275,64219
11,24,53887,49410,50603,87131,17426,26139,43565,153900
12,1,28717,15767,17595,24268,4853,7280,12134,62079
12,2,88620,42454,50091,89065,17813,26719,44532,181165
12,3,25509,27295,20726,34227,6845,10268,17113,73530
12,4,50804,40855,35113,44782,8956,13434,22391,126772
12,5,111461,26051,31076,67066,13413,20119,33533,168588
12,6,61612,25643,38914,38599,7719,11579,19299,126169
12,7,35981,11947,21523,27165,5433,8149,13582,69451
12,8,31153,21617,50144,34130,6826,10239,17065,102914
12,9,62874,27122,17631,61295,12259,18388,30647,107627
12,10,36913,42785,23853,58990,11798,17697,29495,103551
12,11,84439,34505,43685,81974,16394,24592,40987,162629
12,12,35418,45152,49335,77663,15532,23299,38831,129905
12,13,45663,32688,22149,47633,9526,14290,23816,100500
12,14,71960,42814,47170,58323,11664,17497,29161,161944
12,15,93176,15217,23469,74555,14911,22366,37277,131862
12,16,77874,27273,19013,45010,9002,13503,22505,124160
12,17,58797,16477,25585,38335,7667,11500,19167,100859
12,18,42921,17678,12496,36373,7274,10912,18186,73095
12,19,43526,31267,31012,35855,7171,10756,17927,105805
12,20,55705,16319,19169,44041,8808,13212,22020,91193
12,21,34902,28677,41236,40966,8193,12289,20483,104815
12,22,61606,32878,40633,65912,13182,19773,32956,135117
12,23,18665,12555,24653,30140,6028,9042,15070,55873
12,24,98234,67021,27670,80697,16139,24209,40348,192925
13,1,14750,12159,24282,20440,4088,6132,10220,51191
13,2,59840,18223,33634,44591,8918,13377,22295,111697
13,3,44990,35085,44118,50584,10116,15175,25292,124193
13,4,45199,12249,36651,50349,10069,15104,25174,94099
13,5,49568,14740,30472,40676,8135,12202,20338,94780
13,6,66758,13370,22977,53003,10600,15901,26501,103105
13,7,68020,14560,30387,58962,11792,17688,29481,112967
13,8,113654,45857,41463,92420,18484,27726,46210,200974
13,9,95604,28554,45367,74013,14802,22204,37006,169525
13,10,63731,42982,41939,61471,12294,18441,30735,148652
13,11,61814,12786,40058,56930,11386,17079,28465,114658
13,12,32889,48077,67141,67291,13458,20187,33645,148107
13,13,32989,17336,35214,33147,6629,9944,16573,85539
13,14,32155,29214,44240,48566,9713,14569,24283,105609
13,15,30386,29190,15441,37313,7462,11194,18656,75017
13,16,61863,57244,62365,84087,16817,25226,42043,181472
13,17,27614,21107,46874,29109,5821,8732,14554,95595
13,18,56398,44572,56471,94142,18828,28242,47071,157441
13,19,36151,16879,47833,53164,10632,15949,26582,100863
13,20,54477,69262,31501,57911,11582,17373,28955,155240
13,21,19433,21399,28519,36630,7326,10989,18315,69351
13,22,75762,27581,26566,68893,13778,20667,34446,129909
13,23,61961,43867,79438,88973,17794,26692,44486,185266
13,24,73675,16186,57667,71902,14380,21570,35951,147528
14,1,95834,31458,42581,59179,11835,17753,29589,169873
14,2,29675,20689,46609,39917,7983,11975,19958,96973
14,3,65644,33282,24742,58918,11783,17675,29459,123668
14,4,38493,22662,42308,33448,6689,10034,16724,103463
14,5,25807,25496,36686,52214,10442,15664,26107,87989
14,6,64991,46838,51254,53906,10781,16172,26953,163083
14,7,33738,39628,27989,42677,8535,12803,21338,101355
14,8,62582,22869,42180,73267,14653,21980,36633,127631
14,9,112666,17058,39839,51643,10328,15493,25821,169563
14,10,37039,53748,49189,70684,14136,21205,35342,139976
14,11,52920,17580,30718,42158,8431,12647,21079,101218
14,12,106039,38763,34873,92563,18512,27769,46281,179675
14,13,25544,16398,24534,33182,6636,9954,16591,66476
14,14,39659,23743,23465,41617,8323,12485,20808,86867
14,15,17109,16712,29457,35410,7082,10623,17705,63278
14,16,45722,20620,25353,27646,5529,8293,13823,91695
14,17,54917,26199,82352,56203,11240,16861,28101,163468
14,18,49671,23961,27522,54221,10844,16266,27110,101154
14,19,82590,19213,24517,61960,12392,18588,30980,126320
14,20,48782,31774,14762,55066,11013,16520,27533,95318
14,21,87133,41339,28860,67919,13583,20375,33959,157332
14,22,82785,42685,56496,84598,16919,25379,42299,181966
14,23,35799,19194,42907,47704,9540,14311,23852,97900
14,24,72968,39525,46001,55925,11185,16777,27962,158494
15,1,51328,61655,66431,61547,12309,18464,30773,179414
15,2,87157,18365,41641,55350,11070,16605,27675,147163
15,3,55379,22451,42994,50233,10046,15070,25116,120824
15,4,35139,36781,13494,38121,7624,11436,19060,85414
15,5,96250,18969,29764,63695,12739,19108,31847,144983
15,6,53139,10536,31958,51412,10282,15423,25706,95633
15,7,38744,19974,32587,31056,6211,9316,15528,91305
15,8,65853,22757,24722,46537,9307,13961,23268,113332
15,9,141830,20590,71305,136447,27289,40934,68223,233725
15,10,38417,24893,46176,58200,11640,17460,29100,109486
15,11,44523,49260,56987,64589,12917,19376,32294,150770
15,12,29392,26660,46909,48841,9768,14652,24420,102961
15,13,21414,24671,40729,38290,7658,11487,19145,86814
15,14,30301,50778,43599,51761,10352,15528,25880,124678
15,15,55172,25855,15567,32826,6565,9847,16413,96594
15,16,73919,58923,55354,65904,13180,19771,32952,188196
15,17,48622,27697,24046,38787,7757,11636,19393,100365
15,18,131637,13662,78397,91616,18323,27485,45808,223696
15,19,13557,10511,25998,18799,3759,5639,9399,50066
15,20,83488,26123,69868,84929,16985,25478,42464,179479
15,21,75231,11198,38104,59705,11941,17911,29852,124533
15,22,86098,68433,44174,62343,12468,18703,31171,198705
15,23,23205,50043,64267,68055,13611,20416,34027,137515
15,24,121370,36739,41516,87888,17577,26366,43944,199625
16,1,70380,34438,35532,65137,13027,19541,32568,140350
16,2,29122,36904,52650,67406,13481,20221,33703,118676
16,3,21907,16796,37595,27085,5417,8125,13542,76298
16,4,64556,53957,44582,68717,13743,20615,34358,163095
16,5,27946,12447,50156,40343,8068,12103,20171,90549
16,6,51534,22721,27304,48469,9693,14540,24234,101559
16,7,87854,46622,31846,83710,16742,25113,41855,166322
16,8,27244,26448,38565,31255,6251,9376,15627,92257
16,9,64430,17738,16986,52025,10405,15607,26012,99154
16,10,30612,32483,62464,45993,9198,13798,22996,125559
16,11,88555,10471,39556,81119,16223,24335,40559,138582
16,12,84388,32375,50133,55359,11071,16607,27679,166896
16,13,15557,22690,13910,31086,6217,9325,15543,52157
16,14,70133,31455,25121,73287,14657,21986,36643,126709
16,15,62175,7931,41791,63418,12683,19025,31709,111897
16,16,72992,39051,26161,42718,8543,12815,21359,138204
16,17,27097,18782,30239,27435,5487,8230,13717,76118
16,18,36511,43305,44874,58646,11729,17594,29323,124690
16,19,104912,34992,32956,89261,17852,26778,44630,172860
16,20,24127,10999,23347,30431,6086,9129,15215,58473
16,21,89094,49727,54363,60629,12125,18188,30314,193184
16,22,25958,40916,57055,62784,12556,18835,31392,123929
16,23,43601,56046,75569,78655,15731,23596,39327,175216
16,24,40184,50631,22273,44565,8913,13369,22282,113088
17,1,84738,18642,69884,87819,17563,26345,43909,173264
17,2,132054,40313,70461,91112,18222,27333,45556,242828
17,3,94307,14058,31299,68925,13785,20677,34462,139664
17,4,94212,32916,70280,95475,19095,28642,47737,197408
17,5,17312,24100,20461,29534,5906,8860,14767,61873
17,6,132927,46188,47295,104117,20823,31235,52058,226410
17,7,34124,24582,20988,30424,6084,9127,15212,79694
17,8,35955,27348,32894,34661,6932,10398,17330,96197
17,9,62562,23673,35758,50620,10124,15186,25310,121993
17,10,52716,14536,53116,71167,14233,21350,35583,120368
17,11,44880,19154,16976,43442,8688,13032,21721,81010
17,12,47818,50342,80743,74300,14860,22290,37150,178903
17,13,40568,46867,75737,82418,16483,24725,41209,163172
17,14,22017,19931,42440,32424,6484,9727,16212,84388
17,15,114027,36374,35854,67872,13574,20361,33936,186255
17,16,102945,62956,23643,90042,18008,27012,45021,189544
17,17,51222,44689,63616,60117,12023,18035,30058,159527
17,18,71143,37961,22511,61062,12212,18318,30531,131615
17,19,17334,13808,32753,20706,4141,6212,10353,63895
17,20,50542,30915,17286,54356,10871,16306,27178,98743
17,21,17578,37940,26456,33985,6797,10195,16992,81974
17,22,96219,30479,23923,45887,9177,13766,22943,150621
17,23,29522,24819,19177,43190,8638,12957,21595,73518
17,24,56956,25204,64589,68032,13606,20409,34016,146749
18,1,45080,24150,41319,63539,12707,19061,31769,110549
18,2,79288,19226,53637,54222,10844,16266,27111,152151
18,3,118445,12996,27043,61820,12364,18546,30910,158484
18,4,76965,48500,32968,65742,13148,19722,32871,158433
18,5,77726,9189,36849,44383,8876,13315,22191,123764
18,6,88585,38842,27214,67453,13490,20236,33726,154641
18,7,19512,18292,37776,29055,5811,8716,14527,75580
18,8,32497,5876,16836,18640,3728,5592,9320,55209
18,9,54058,23856,18748,31361,6272,9408,15680,96662
18,10,52213,19881,37066,41197,8239,12359,20598,109160
18,11,79035,45001,43191,99394,19878,29818,49697,167227
18,12,27820,26515,53766,40741,8148,12222,20370,108101
18,13,74391,20624,47208,79166,15833,23749,39583,142223
18,14,47127,17779,47600,49246,9849,14774,24623,112506
18,15,69653,14205,29802,42702,8540,12810,21351,113660
18,16,86342,14672,68801,92863,18572,27859,46431,169815
18,17,129652,19232,29583,93957,18791,28187,46978,178467
18,18,75877,11028,26858,55201,11040,16560,27600,113763
18,19,72780,26180,66984,64046,12809,19213,32023,165944
18,20,73799,18216,36021,67687,13537,20306,33843,128036
18,21,39791,16886,47665,31910,6382,9573,15955,104342
18,22,36065,24203,46775,41099,8219,12329,20549,107043
18,23,68300,19961,33474,67993,13598,20397,33996,121735
18,24,110975,55986,40451,76782,15356,23034,38391,207412
19,1,104287,28232,54698,91528,18305,27458,45764,187217
19,2,33220,25648,27006,38109,7621,11432,19054,85874
19,3,60648,47686,67702,75467,15093,22640,37733,176036
19,4,73335,16948,35391,63573,12714,19072,31786,125674
19,5,17644,23580,36362,24163,4832,7249,12081,77586
19,6,23414,31125,27738,36972,7394,11091,18486,82277
19,7,67512,39918,42681,64849,12969,19454,32424,150111
19,8,35681,20224,13610,36511,7302,10953,18255,69515
19,9,15987,29656,11163,24308,4861,7292,12154,56806
19,10,26984,23896,27353,44704,8940,13411,22352,78233
19,11,80794,14550,14031,65383,13076,19615,32691,109375
19,12,98045,34521,70837,114462,22892,34338,57231,203403
19,13,27280,20864,38086,46464,9292,13939,23232,86230
19,14,85315,25096,58308,86907,17381,26072,43453,168719
19,15,61096,39132,33554,62643,12528,18792,31321,133782
19,16,59294,18438,72260,80404,16080,24121,40202,149992
19,17,103791,59610,41506,98532,19706,29559,49266,204907
19,18,50824,14225,28505,55063,11012,16518,27531,93554
19,19,57847,45303,49211,86364,17272,25909,43182,152361
19,20,55678,59473,48274,77288,15457,23186,38644,163425
19,21,21237,31553,27855,34474,6894,10342,17237,80645
19,22,74683,24492,27212,45383,9076,13615,22691,126387
19,23,50654,42333,30010,45929,9185,13778,22964,122997
19,24,106504,50093,38929,71491,14298,21447,35745,195526
20,1,28304,22879,17883,39193,7838,11758,19596,69066
20,2,79709,64914,43139,107971,21594,32391,53985,187762
20,3,104010,46073,43433,76640,15328,22992,38320,193516
20,4,38374,36767,55973,66942,13388,20082,33471,131114
20,5,34962,33424,26144,31894,6378,9568,15947,94530
20,6,20088,20040,29343,32542,6508,9762,16271,69471
20,7,113362,67888,35112,84342,16868,25302,42171,216362
20,8,37102,37722,39544,66925,13385,20077,33462,114368
20,9,18254,6249,21591,15709,3141,4712,7854,46094
20,10,44986,24810,37154,36419,7283,10925,18209,106950
20,11,33797,35705,51840,64479,12895,19343,32239,121342
20,12,114323,22289,19527,61453,12290,18436,30726,156139
20,13,100715,38945,60037,75201,15040,22560,37600,199697
20,14,127383,31132,53740,77019,15403,23105,38509,212255
20,15,48216,17598,61755,47951,9590,14385,23975,127569
20,16,59927,50304,74350,110145,22029,33043,55072,184581
20,17,115347,31871,30707,77597,15519,23279,38798,177925
20,18,31270,27199,52235,41522,8304,12456,20761,110704
20,19,67895,48146,59829,56096,11219,16828,28048,175870
20,20,34631,29792,12906,26008,5201,7802,13004,77329
20,21,70280,26674,61333,78674,15734,23602,39337,158287
20,22,36525,43545,33308,42871,8574,12861,21435,113378
20,23,40299,18402,48981,50262,10052,15078,25131,107682
20,24,55561,48119,18590,56954,11390,17086,28477,122270
21,1,78554,49987,47600,71969,14393,21590,35984,176141
21,2,94759,43067,33995,88321,17664,26496,44160,171821
21,3,104230,19127,64374,58193,11638,17458,29096,187731
21,4,66049,14677,14940,40669,8133,12200,20334,95666
21,5,21439,30841,31198,35915,7183,10774,17957,83478
21,6,69971,34025,17817,41094,8218,12328,20547,121813
21,7,36650,10487,48923,29258,5851,8777,14629,96060
21,8,94578,22183,15777,61000,12200,18300,30500,132538
21,9,79607,38012,60357,69127,13825,20738,34563,177976
21,10,84853,37469,53213,101749,20349,30524,50874,175535
21,11,95113,12963,24643,67913,13582,20373,33956,132719
21,12,44480,6479,19588,23029,4605,6908,11514,70547
21,13,71173,42001,53995,83021,16604,24906,41510,167169
21,14,99580,56509,25954,102413,20482,30723,51206,182043
